event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
66,56,aten::empty,,aten::empty,9394.287,9404.266,9.97899999999936,9.97899999999936,9.97899999999936,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,55,0,0,[],[],False,False,False,False,0,0,0,24064,24064,"[[],[],[],[],[],[]]","[[77,77],6,null,null,false,null]",{},[],
68,88,cudaLaunchKernel,,cudaLaunchKernel,9411.069,9416.749,5.680000000000291,5.680000000000291,5.680000000000291,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,57,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
71,59,aten::empty,,aten::empty,9439.472,9446.665,7.1930000000011205,7.1930000000011205,7.1930000000011205,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,58,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[],[],[],[],[],[]]","[[0],4,null,null,false,null]",{},[],
73,61,aten::resize_,,aten::resize_,9454.971,9473.736,18.765000000001237,18.765000000001237,18.765000000001237,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,60,0,0,[],[],False,False,False,False,0,0,0,1024,1024,"[[0],[],[]]","[null,[77],null]",{},[],
74,105,cudaLaunchKernel,,cudaLaunchKernel,9476.24,9481.731,5.4909999999999854,5.4909999999999854,5.4909999999999854,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,60,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
77,115,cudaLaunchKernel,,cudaLaunchKernel,9511.416,9515.664,4.2480000000014115,4.2480000000014115,4.2480000000014115,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,62,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
79,63,aten::view,,aten::view,9527.977,9534.92,6.9429999999993015,6.9429999999993015,6.9429999999993015,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[77,1]]",{},[],
81,125,cudaLaunchKernel,,cudaLaunchKernel,9550.639,9555.238,4.59900000000016,4.59900000000016,4.59900000000016,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,64,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
84,131,cudaLaunchKernel,,cudaLaunchKernel,9582.308,9587.368,5.059999999999491,5.059999999999491,5.059999999999491,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,65,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
88,68,aten::empty_strided,,aten::empty_strided,9607.986,9616.432,8.445999999999913,8.445999999999913,8.445999999999913,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,67,0,0,[],[],False,False,False,False,0,0,0,12288,12288,"[[],[],[],[],[],[]]","[[77,77],[77,1],5,0,null,false]",{},[],
